Iterasi,Jaringan,Format,Rendering,LCP,TBT,CLS,Payload
1,Broadband,SVG,SSR,1454.62,0.00,0.000,219.15
1,Broadband,SVG,CSR,170.50,0.00,0.000,218.17
1,Broadband,GIF,SSR,437.01,0.00,0.000,273.45
1,Broadband,GIF,CSR,332.11,0.00,0.000,274.89
1,Fast 4G,Lottie,SSR,2389.08,235.79,0.000,1092.25
1,Fast 4G,Lottie,CSR,2264.62,66.32,0.000,1092.46
1,Fast 4G,SVG,SSR,829.90,48.69,0.000,219.15
1,Fast 4G,SVG,CSR,2263.25,0.00,0.000,218.31
1,Fast 4G,GIF,SSR,2470.54,0.00,0.000,273.49
1,Fast 4G,GIF,CSR,2291.00,0.00,0.000,274.96
1,Slow 4G,Lottie,SSR,1623.01,616.98,0.000,1092.37
1,Slow 4G,Lottie,CSR,1440.38,195.71,0.000,1092.54
1,Slow 4G,SVG,SSR,1642.12,242.62,0.000,219.16
1,Slow 4G,SVG,CSR,2518.39,231.05,0.000,218.41
1,Slow 4G,GIF,SSR,5767.68,337.28,0.000,273.48
1,Slow 4G,GIF,CSR,7384.98,341.63,0.000,275.02
2,Broadband,Lottie,SSR,2464.42,0.00,0.000,1092.10
2,Broadband,Lottie,CSR,204.19,0.00,0.000,1092.48
2,Broadband,SVG,SSR,1432.82,0.00,0.000,219.11
2,Broadband,SVG,CSR,231.17,0.00,0.000,218.29
2,Broadband,GIF,SSR,596.94,0.00,0.000,273.44
2,Broadband,GIF,CSR,391.41,0.00,0.000,274.95
2,Fast 4G,Lottie,SSR,2490.12,194.73,0.000,1092.43
2,Fast 4G,Lottie,CSR,2259.52,43.51,0.000,1092.50
2,Fast 4G,SVG,SSR,2399.29,0.00,0.000,219.17
2,Fast 4G,SVG,CSR,2282.78,0.00,0.000,218.30
2,Fast 4G,GIF,SSR,1677.40,29.05,0.000,273.48
2,Fast 4G,GIF,CSR,2268.92,0.00,0.000,274.94
2,Slow 4G,Lottie,SSR,3507.69,507.88,0.000,1092.41
2,Slow 4G,Lottie,CSR,1671.11,76.04,0.000,1092.53
2,Slow 4G,SVG,SSR,1560.31,75.62,0.000,219.20
2,Slow 4G,SVG,CSR,1643.17,197.16,0.000,218.40
2,Slow 4G,GIF,SSR,5814.71,295.34,0.000,273.53
2,Slow 4G,GIF,CSR,7462.61,409.79,0.000,275.01
3,Broadband,Lottie,SSR,397.30,0.00,0.000,1092.40
3,Broadband,Lottie,CSR,1212.65,0.00,0.000,1092.52
3,Broadband,SVG,SSR,389.19,0.00,0.000,219.11
3,Broadband,SVG,CSR,208.78,0.00,0.000,218.21
3,Broadband,GIF,SSR,2373.48,0.00,0.000,273.48
3,Broadband,GIF,CSR,2187.74,0.00,0.000,274.84
3,Fast 4G,Lottie,SSR,2408.18,219.73,0.000,1092.43
3,Fast 4G,Lottie,CSR,2259.45,11.19,0.000,1092.51
3,Fast 4G,SVG,SSR,779.59,95.26,0.000,219.13
3,Fast 4G,SVG,CSR,2266.05,0.00,0.000,218.31
3,Fast 4G,GIF,SSR,2417.17,0.00,0.000,273.46
3,Fast 4G,GIF,CSR,2350.04,0.00,0.000,274.95
3,Slow 4G,Lottie,SSR,3540.01,433.14,0.000,1092.50
3,Slow 4G,Lottie,CSR,1623.81,224.44,0.000,1092.58
3,Slow 4G,SVG,SSR,1673.30,419.07,0.000,219.17
3,Slow 4G,SVG,CSR,1571.41,97.93,0.000,218.41
3,Slow 4G,GIF,SSR,5803.25,87.40,0.000,273.52
3,Slow 4G,GIF,CSR,7079.98,76.44,0.000,274.99
4,Broadband,Lottie,SSR,435.48,0.00,0.000,1092.32
4,Broadband,Lottie,CSR,1232.09,0.00,0.000,1092.46
4,Broadband,SVG,SSR,2430.65,0.00,0.000,219.16
4,Broadband,SVG,CSR,157.13,0.00,0.000,218.16
4,Broadband,GIF,SSR,2412.42,0.00,0.000,273.50
4,Broadband,GIF,CSR,2141.00,0.00,0.000,274.92
4,Fast 4G,Lottie,SSR,2406.36,15.45,0.000,1092.62
4,Fast 4G,Lottie,CSR,2280.23,0.00,0.000,1092.52
4,Fast 4G,SVG,SSR,2375.32,0.00,0.000,219.13
4,Fast 4G,SVG,CSR,2248.07,0.00,0.000,218.17
4,Fast 4G,GIF,SSR,2485.17,0.00,0.000,273.50
4,Fast 4G,GIF,CSR,2316.05,0.00,0.000,274.92
4,Slow 4G,Lottie,SSR,1670.80,171.66,0.000,1092.50
4,Slow 4G,Lottie,CSR,3529.89,84.62,0.000,1092.55
4,Slow 4G,SVG,SSR,1636.11,76.72,0.000,219.16
4,Slow 4G,SVG,CSR,3518.28,70.92,0.000,218.28
4,Slow 4G,GIF,SSR,5771.34,79.87,0.000,273.49
4,Slow 4G,GIF,CSR,7180.81,71.02,0.000,275.03
5,Broadband,Lottie,SSR,462.57,0.00,0.000,1092.21
5,Broadband,Lottie,CSR,1265.79,0.00,0.000,1092.52
5,Broadband,SVG,SSR,2455.36,0.00,0.000,219.17
5,Broadband,SVG,CSR,2241.84,0.00,0.000,218.32
5,Broadband,GIF,SSR,2415.12,0.00,0.000,273.45
5,Broadband,GIF,CSR,2145.56,0.00,0.000,274.94
5,Fast 4G,Lottie,SSR,2390.87,7.41,0.000,1092.18
5,Fast 4G,Lottie,CSR,2253.36,0.00,0.000,1092.46
5,Fast 4G,SVG,SSR,2443.93,0.00,0.000,219.19
5,Fast 4G,SVG,CSR,2257.03,0.00,0.000,218.15
5,Fast 4G,GIF,SSR,2448.01,0.00,0.000,273.47
5,Fast 4G,GIF,CSR,2367.27,0.00,0.000,274.94
5,Slow 4G,Lottie,SSR,3516.46,122.23,0.000,1092.34
5,Slow 4G,Lottie,CSR,3532.94,77.74,0.000,1092.56
5,Slow 4G,SVG,SSR,3523.11,82.30,0.000,219.20
5,Slow 4G,SVG,CSR,1636.49,74.09,0.000,218.35
5,Slow 4G,GIF,SSR,5783.77,77.21,0.000,273.54
5,Slow 4G,GIF,CSR,7139.09,64.27,0.000,274.81
6,Broadband,Lottie,SSR,2379.93,0.00,0.000,1092.32
6,Broadband,Lottie,CSR,1208.31,0.00,0.000,1092.46
6,Broadband,SVG,SSR,702.56,0.00,0.000,219.11
6,Broadband,SVG,CSR,184.42,0.00,0.000,218.35
6,Broadband,GIF,SSR,2480.69,0.00,0.000,273.43
6,Broadband,GIF,CSR,2279.42,0.00,0.000,274.94
6,Fast 4G,Lottie,SSR,2438.67,10.19,0.000,1092.53
6,Fast 4G,Lottie,CSR,2251.99,0.00,0.000,1092.51
6,Fast 4G,SVG,SSR,2513.99,0.00,0.000,219.15
6,Fast 4G,SVG,CSR,2253.28,0.00,0.000,218.32
6,Fast 4G,GIF,SSR,2457.68,0.00,0.000,273.50
6,Fast 4G,GIF,CSR,2253.31,0.00,0.000,274.95
6,Slow 4G,Lottie,SSR,1583.49,134.83,0.000,1092.64
6,Slow 4G,Lottie,CSR,1661.24,79.20,0.000,1092.54
6,Slow 4G,SVG,SSR,2531.69,79.80,0.000,219.16
6,Slow 4G,SVG,CSR,3510.48,83.86,0.000,218.35
6,Slow 4G,GIF,SSR,5771.17,81.30,0.000,273.52
6,Slow 4G,GIF,CSR,7062.75,82.92,0.000,275.00
7,Broadband,Lottie,SSR,2448.01,0.00,0.000,1092.23
7,Broadband,Lottie,CSR,2266.10,0.00,0.000,1092.49
7,Broadband,SVG,SSR,1435.16,0.00,0.000,219.19
7,Broadband,SVG,CSR,1272.36,0.00,0.000,218.13
7,Broadband,GIF,SSR,564.60,0.00,0.000,273.46
7,Broadband,GIF,CSR,1402.55,0.00,0.000,274.92
7,Fast 4G,Lottie,SSR,2454.67,6.07,0.000,1092.56
7,Fast 4G,Lottie,CSR,2250.45,0.00,0.000,1092.51
7,Fast 4G,SVG,SSR,2487.92,0.00,0.000,219.21
7,Fast 4G,SVG,CSR,2279.17,0.00,0.000,218.29
7,Fast 4G,GIF,SSR,2437.93,0.00,0.000,273.50
7,Fast 4G,GIF,CSR,2261.40,0.00,0.000,274.92
7,Slow 4G,Lottie,SSR,1601.35,120.61,0.000,1092.29
7,Slow 4G,Lottie,CSR,1447.36,84.36,0.000,1092.55
7,Slow 4G,SVG,SSR,1568.21,75.16,0.000,219.17
7,Slow 4G,SVG,CSR,1786.03,68.85,0.000,218.33
7,Slow 4G,GIF,SSR,5807.29,93.22,0.000,273.56
7,Slow 4G,GIF,CSR,7081.54,77.78,0.000,274.89
8,Broadband,Lottie,SSR,2449.47,0.00,0.000,1092.38
8,Broadband,Lottie,CSR,1261.83,0.00,0.000,1092.50
8,Broadband,SVG,SSR,1424.62,0.00,0.000,219.14
